rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
1,10000000,13150000,24066472,26265108,56423321,13750000,15105630,24293972,12917315,10848307,15000000,21718303,17703939,19181167,17599999,12345017,11271919,12048696,19071045,15056660,11463217,8930000,10000000,15823441,13907706,22090085,13469408,14562794,18398824,10198533,12700000,13000000,17748525,16656104,9187140,34309546,10741669
2,6347707,8281115,21886954,22000000,40582611,5000000,10560000,19737449,6278642,7650000,10000000,19550438,7707700,17225967,10577682,7000810,4500480,8203216,13765004,11452271,10026191,4574672,7044375,12345678,10468714,14107849,5731309,11767260,13838380,3549216,6468980,9999999,15000000,6284114,5148663,32847690,4287859
3,5126998,6833032,12128300,6845108,16168396,3781375,10560000,10911193,5555555,5172467,9107417,8276204,7700770,7935987,4692971,6000000,4155519,6191897,11573741,8858422,3289207,4043825,5637569,4580700,5717020,5006818,5678578,3853512,5238380,3396810,4220732,5525220,8929562,4722628,4538388,14000000,4260308
4,5057452,6312881,11849768,6432611,6183199,3781000,6105630,7657657,4518579,4711380,7650000,7938591,7700000,6812646,4567654,5000300,4000019,5531281,4019158,7839609,3190372,3863960,5169669,4580700,5401512,4957442,5079916,3559159,5038038,3192000,4107190,5470974,4215187,3978941,4515638,7577904,4161076
5,4639371,5413911,6568452,5791496,5119593,3750408,5655551,6766532,4166572,3281411,7582166,5635903,7700000,6345345,4233383,4554069,3532572,4479133,3942960,6551751,3027249,3506820,4941444,4193464,5224986,4380776,4769534,3548933,4725596,3185441,4000000,4603279,3959016,3777569,4444444,6534318,4131061
6,4524414,4773681,6029119,5660054,4273655,3750000,5639010,5895033,4070637,3264894,6567076,5151038,7700000,5050345,4068901,4510000,3364152,4345065,3870733,6451385,3002879,3479051,4178403,4187574,4273755,4375781,4583534,3441085,3838394,3163179,3800089,4038000,3923683,3766233,4444444,6467888,3969693
7,4357582,4629728,5880877,5631479,4133746,3750000,5258921,5778489,4066394,3251211,6076144,4504035,7659887,3972083,4056222,4454525,3230288,4230673,3810671,6280108,2876093,3471295,4004452,3707851,4160420,4344483,4275667,3361598,3838380,3045509,3750000,3815504,3419033,3607347,4238049,6110558,3860989
8,4213487,4283558,5528300,5531947,4065789,3750000,5055820,5253089,4062064,3128735,5856824,4084430,7088329,3750722,3942960,4313953,3113204,4196338,3800000,5760296,2790031,3467316,3662417,3578773,4006810,3874181,3758268,3350040,3838380,3038048,3748803,3645595,3364308,3561505,3922975,6085827,3658767
9,4198760,4047479,5283765,5499387,4005956,3750000,5007191,4762231,4016972,3069387,5728515,3826661,7077777,3750000,3745703,4036541,3100841,3951616,3647036,5648101,2683638,3210906,3637787,3554137,3945311,3761919,3749163,3344599,3838380,2999999,3632521,3584943,3188387,3557669,3842096,5990915,3532985
10,4142535,4033537,5137201,5256311,4002865,3750000,4812646,4681356,3986953,3058468,5620852,3812322,6558666,3592502,3450000,3950887,3006530,3887889,3332587,5491412,2654824,3159373,3630411,3507485,3876566,3731224,3453460,3342584,3838380,2999999,3617006,3538841,3176901,3537269,3610648,5985823,3501812
11,3942960,3882053,4679424,5246759,3850431,3750000,4687316,4415998,3897054,3045183,5554004,3740936,6018278,3556873,3308292,3900544,2957752,3761679,3300191,5400749,2604080,3150763,3625825,3498735,3737726,3727663,3447889,3131174,3838380,2989563,3531614,3003340,3109017,3499599,3600089,5844376,3278377
12,3595799,3853271,4651729,5236389,3847492,3750000,4592078,4103338,3832090,3000109,5500218,3590254,5733676,3527068,3286270,3458225,2917931,3691204,3239817,5399890,2432973,3000000,3421818,3230275,3500117,3723023,3208217,3048886,3838380,2954983,3468437,2841118,3068234,3496010,3437744,5811807,3240383
13,3522168,3828959,4550549,5204268,3845057,3750000,4576487,4066633,3640230,2934230,5324524,3441333,5511111,3461138,3277035,3390516,2806722,3383594,3236567,5384802,2395124,2874873,3346728,3212684,3455533,3686052,3191921,3030250,3838380,2870437,3430435,2839647,3065443,3490890,3413084,5790503,3236819
14,3457961,3627713,4504403,5176953,3809486,3750000,4538855,4040567,3617610,2923072,5291483,3413159,5493807,3458345,3183705,3353333,2643792,3350341,3114935,5367075,2345987,2852686,3164554,3172836,3153679,3626491,3171315,2888280,3838380,2764172,3403231,2832710,3028238,3467304,3380624,5741045,3212279
15,3450000,3613831,4429330,5150112,3800000,3750000,4334277,4017185,3575311,2907571,5260077,3367267,5487937,3454345,3172660,3328428,2606096,3333333,3075275,5280408,2323155,2770370,3109107,3110759,3025994,3616720,3144199,2823067,3838380,2734982,3401228,2807129,3011522,3233614,3374028,5717766,3161562
16,3405736,3572821,4154205,5127945,3700581,3750000,4256592,3786485,3527340,2828282,5205229,3240724,5465711,3450345,3127824,3250045,2593817,3290833,3053371,5178134,2314056,2753407,3093949,3096085,3015507,3583144,3067127,2799070,3838380,2665876,3331010,2764483,2980676,3139912,3314497,5703036,3156939
17,3381032,3570396,4137896,5108910,3629505,3750000,4175044,3702520,3474419,2807960,5191964,3236968,5397478,3450000,3125049,3250036,2546078,3277634,3041669,5170169,2280874,2681642,3087633,3072368,2970110,3573091,3028064,2761730,3838380,2626801,3309682,2762600,2962405,3132999,3306408,5693966,3118018
