rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
1,6054831,2821132,7895914,8050502,8503809,3750000,2500457,2113543,2377472,2503750,6765384,6500000,3596924,3663299,2031736,3806098,4113759,3244384,3573717,3909412,2188495,2849710,3087139,2355843,2205999,3152460,2598575,1900246,3803838,1425381,3767382,4038000,3002557,3684270,5228618,3080194,4641110
2,3610000,2554263,4207094,4497214,2639405,3750000,2295280,2025904,2222085,2196051,3031861,2467067,3270293,3512741,2012420,3062912,1900001,3047937,2503704,2318429,1529795,1852800,2528367,2235241,2017723,2247987,2155988,1261952,3803838,1285540,2438796,1597588,2040849,2001246,2395947,2506211,2099023
3,2055891,2063650,2830000,3829288,2167207,3750000,2001855,1696806,2203624,1785658,2940960,2093482,2532077,3450000,2000867,2914515,1505754,2397412,2058867,2304681,1389973,1510195,2166781,1698114,1845666,2104682,2118268,1173503,3792914,1197405,2224049,1502128,2029443,1684509,2022955,2405503,1767295
4,2012998,2060543,2828143,3683782,2064482,3750000,2001578,1514838,2129945,1742944,2713396,2053255,2470995,2061889,1856225,2100054,1500461,2083473,2001128,2168669,1277331,1332020,2049756,1500963,1683318,1975645,2115777,1125900,2951926,1168775,2125969,1419871,1972298,1672557,2003262,2160617,1692004
5,2000040,2057713,2802316,3427868,2012345,3029364,1859721,1452037,2100801,1736111,2615721,2016472,2004808,2040700,1704911,2043414,1279706,2009849,1712591,2163597,1203553,1262263,2008259,1485506,1504472,1868262,2004587,1066095,2279145,1138897,2106761,1301463,1851016,1504481,1618051,2015932,1672080
6,1749424,2049964,2426184,3305779,2005697,2793245,1755323,1401349,2093076,1546500,2527780,1901516,2004178,1942332,1551125,2034309,1187880,1884188,1692919,2044295,1145335,1170404,2006296,1426438,1263839,1817750,1510089,1047676,2014303,1116085,1749726,1278292,1821776,1459079,1602150,2007778,1500775
7,1717202,2022487,2077581,3071548,1930271,2788821,1688546,1257874,2080884,1428341,2402111,1800589,2001479,1928652,1542324,1855364,1167561,1869458,1691773,2003679,1098240,1000000,1907894,1409758,1261253,1569832,1502370,1014149,1776026,1063636,1674577,1201773,1478951,1363460,1500590,2006020,1432781
8,1713061,2014460,2024633,3036769,1503588,2746702,1681238,1228317,2064292,1401297,2195564,1586169,1843811,1846591,1505237,1807840,1085512,1843984,1580828,2000159,1065589,947230,1806842,1341574,1106845,1543183,1408397,1001171,1536389,1055072,1619448,1151877,1472240,1273899,1324979,2001996,1379770
9,1672002,1905153,2018370,2822327,1427033,2622710,1665646,1121407,2045084,1163745,2174088,1565488,1811309,1730852,1459138,1751985,1011109,1604418,1313585,1991642,1045725,938275,1798094,1286299,1027070,1514765,1380298,990522,1408351,1049335,1567076,1108538,1462246,1245686,1300024,2001995,1367336
10,1607960,1862625,1806999,2735798,1357755,2317362,1658273,1119517,2010657,1115514,2036240,1510241,1797558,1719418,1229465,1507976,1000000,1529379,1281130,1649694,926061,927179,1612812,1114210,1021051,1507340,1320206,970988,1389421,996991,1540371,1056273,1382895,1146257,1278450,2000169,1343131
11,1606346,1709649,1800183,2719064,1280414,2165347,1606539,1102571,2004826,1070145,2023974,1421124,1795848,1685146,1175596,1500057,955012,1520712,1270017,1626812,876128,926018,1519139,1112123,1015835,1448671,1310177,964251,1376152,917006,1427959,1033455,1368526,1106267,1274150,1860895,1314879
12,1561239,1425350,1682438,2505853,1208273,2150948,1557833,1099786,2003917,1052953,2018076,1406542,1761533,1678697,1148711,1430379,903588,1519738,1247204,1570333,851881,916464,1518274,1092599,1003400,1404193,1223977,924266,1257592,875374,1298426,1010571,1330284,1101694,1210279,1812642,1304284
13,1555739,1396676,1564438,2334862,1179398,2108542,1537820,1092131,2002395,1005135,2012704,1316033,1607940,1601312,1103051,1415112,864991,1505901,1245960,1517394,704121,879811,1501168,1066457,905317,1397415,1216488,918048,1201439,866618,1272670,1006021,1329229,1068486,1166266,1712821,1220397
14,1548353,1311558,1545276,2297797,1110806,2005105,1514348,1061052,1860270,978460,2003390,1219264,1590599,1563733,1052385,1354469,859632,1501026,1206371,1512335,698454,819627,1393695,1042369,863126,1379211,1115131,792361,1173169,851762,1234590,1005439,1305615,1008032,1055575,1702437,1110207
15,1538242,1259721,1504579,2272429,1100900,2003602,1500900,1031325,1834805,953573,1849990,1130905,1576289,1520794,1040552,1321511,824875,1476036,1168763,1506241,680578,725305,1384714,1040841,833399,1197483,1095560,764211,1101247,839783,1163721,1003993,1248081,1002945,1014188,1568567,1090839
16,1518696,1243418,1489857,2248957,1046649,1860358,1415000,1028066,1831106,920610,1801913,1122209,1567542,1517088,1002161,1251773,763645,1474410,1116037,1501405,677274,712982,1310224,1024685,822388,1183761,1065301,762421,1095828,836506,1161256,1003032,1152115,907175,1013193,1523899,1078835
17,1508200,1204541,1326331,2242097,1045715,1845000,1377325,1002486,1759934,858068,1775513,1114225,1522608,1513721,1002028,1217576,731330,1379442,1081518,1500605,663280,679391,1201799,1016008,744432,1165489,1063988,732254,1064857,815391,1147987,938566,1142576,904017,1004967,1522955,1067031
18,1506817,1204406,1270997,2205361,1016516,1838761,1366797,924575,1666706,793668,1731054,1055042,1511840,1508491,938285,1205426,711260,1281665,1053416,1456602,662957,637994,1185335,1002171,741113,1110206,1040721,725809,1058942,797963,1134926,901133,1103369,861382,1001299,1518587,1065002
19,1501572,1165304,1205767,2132936,955528,1835352,1327610,876691,1665383,755946,1690456,1033082,1406344,1504789,931794,1162828,628754,1280384,1030681,1445507,658389,624082,1179410,999327,732951,1072484,1012577,714362,1032375,789038,1132811,829098,1081198,849584,1000680,1513950,1055275
20,1501303,1083298,1145822,2072734,917441,1823226,1293758,875134,1613791,722346,1667910,1025858,1404454,1501876,931774,1112134,612901,1182970,1009854,1438996,617865,586356,1110625,976936,673638,1061430,1007728,710245,1026514,751447,1127727,805457,1034242,810997,978095,1504453,1032370
21,1414497,1073753,1143760,2024954,905411,1704066,1271372,863329,1553183,690442,1637595,859835,1401502,1481937,769468,1093014,592176,1173745,969625,1411058,617732,541294,1089338,974361,663920,1020333,980820,705680,978476,727208,1126172,803787,1014600,807833,970432,1338281,1003681
22,1405228,1062551,1138200,2008124,890521,1615870,1269500,819656,1547057,632607,1560831,859191,1397491,1430031,756586,1091414,571703,1141372,947053,1402460,616043,541070,1019769,963720,660607,1013531,924185,692853,957373,672133,1103763,792588,1007022,773590,969224,1325547,995917
23,1292983,1046921,1112878,1995505,803070,1578711,1252783,805609,1466262,628040,1530848,856191,1334905,1386335,743420,1078383,564759,1100918,946400,1398669,595851,524131,1016364,952228,653472,1012207,920341,677192,949315,651365,1088574,789924,1005485,760188,962696,1261376,958997
24,1276543,1045763,1112699,1988537,800416,1521210,1237940,778661,1368074,586096,1518558,841452,1298690,1372176,722354,1055401,556791,1073947,853650,1363813,581214,518834,1002410,950594,645161,1006788,875550,675774,883817,646003,1080595,778092,937435,758156,946833,1189691,958989
25,1263290,1023052,1082823,1973620,703767,1514568,1236620,753370,1324520,571590,1505356,838292,1295687,1324113,722262,1055194,532743,1024174,841558,1363498,571665,510448,998768,947327,643636,1006159,848697,673764,843450,641819,1062680,775585,867731,738366,930185,1187902,932695
